word, today's frequency, log2((freq.today-freq.ystdy)/freq.ystdy)
holiday,4.531354749648719e-05,1.1260800084771168
mp,4.5111254873735014e-05,1.3122700642822136
flying,4.490896225098284e-05,1.0256781115192795
father's,4.470666962823066e-05,1.1997370502024256
mum,4.4302084382726315e-05,1.286157223963082
cult,4.389749913722196e-05,1.1733857232554736
fitness,4.2683743400708916e-05,1.7178961802393355
14th,4.2076865532452386e-05,1.112274208952086
assume,4.167228028694804e-05,2.005225613602731
robinson,4.1267695041443687e-05,1.9911504283910082
manchester,4.106540241869152e-05,1.984061003604689
existing,4.086310979593934e-05,1.2764968510302155
audience,4.045852455043499e-05,1.055690680585719
cos,4.045852455043499e-05,1.1552263541366334
arabia,4.005393930493064e-05,1.2476419883580303
kindly,4.005393930493064e-05,1.041191110890604
innovation,3.9851646682178464e-05,1.0338863102673703
brazil,3.9851646682178464e-05,1.133421983818285
aid,3.964935405942629e-05,1.0265443349262025
taeil,3.944706143667412e-05,0
tool,3.944706143667412e-05,1.1187004781115193
solutions,3.924476881392194e-05,1.011747332998122
liverpool,3.9042476191169765e-05,2.911182123687593
capital,3.843559832291324e-05,1.1881409766093687
britain,3.843559832291324e-05,2.888580694750461
panel,3.762642783190454e-05,1.398452278890247
library,3.762642783190454e-05,1.2729213968063882
30pm,3.7424135209152366e-05,1.149666828794733
westminster,3.6614964718143666e-05,0
effective,3.641267209539149e-05,1.4886500878618252
finance,3.580579422713497e-05,1.978975714444906
ensure,3.5198916358878444e-05,1.5917435808259288
scale,3.499662373612627e-05,1.2939216954189403
explains,3.479433111337409e-05,1.2855582224843134
delighted,3.4389745867869744e-05,2.7281160225572147
realise,3.418745324511757e-05,1.134642021980541
notourlasthunt,3.418745324511757e-05,0
dancetothis,3.358057537686104e-05,0
anger,3.317599013135669e-05,1.0913145903164403
irish,3.2973697508604515e-05,2.082490739929434
clients,3.256911226310017e-05,1.0646794638129737
dumbo,3.236681964034799e-05,0
hai,3.2164527017595816e-05,1.3096799468165057
we'd,3.2164527017595816e-05,2.046645540982712
reviews,3.2164527017595816e-05,1.4616830402615557
lopetegui,3.196223439484364e-05,1.6225058345966157
morocco,3.196223439484364e-05,2.300577739709253
premier,3.196223439484364e-05,1.6225058345966157
tzuyu,3.175994177209147e-05,3.028383334589984
youngblood,3.175994177209147e-05,2.2914177404237774
diversity,3.175994177209147e-05,1.0283833345899838
roads,3.175994177209147e-05,1.2914177404237774
shocked,3.1355356526587116e-05,1.272921396806388
lessons,3.115306390383494e-05,1.4155866256721015
attending,3.115306390383494e-05,1.0005491263932578
fancy,3.095077128108277e-05,1.1166813104748674
northern,3.095077128108277e-05,1.4061879276698521
boost,3.095077128108277e-05,1.1166813104748674
pmqs,3.095077128108277e-05,0
threatening,3.0141600790074067e-05,1.0784619882443771
ages,2.9939308167321894e-05,1.0687468334111652
pruitt,2.9737015544569717e-05,2.196469336368515
tories,2.953472292181754e-05,1.50854964529953
explore,2.953472292181754e-05,1.0491180266622324
identify,2.913013767631319e-05,1.0292184692245276
exhibition,2.8927845053561018e-05,1.4785964231979023
xx,2.872555243080884e-05,2.468472205924195
nhs,2.832096718530449e-05,0
kicks,2.811867456255232e-05,1.4376661591430202
nur,2.811867456255232e-05,1.1157380642556578
violent,2.7916381939800142e-05,1.1053214483103193
association,2.7916381939800142e-05,1.1053214483103193
rd,2.771408931704797e-05,1.4167571693800394
corbyn,2.771408931704797e-05,2.8317946686588833
fabulous,2.771408931704797e-05,2.094829074492677
troye,2.7511796694295792e-05,0
lab,2.730950407154362e-05,1.5881857614127397
concern,2.730950407154362e-05,1.8105781827491876
mixed,2.730950407154362e-05,1.5881857614127397
workshop,2.690491882603927e-05,1.3740075219207024
registration,2.690491882603927e-05,1.2040825204783903
keef,2.690491882603927e-05,1.05207942703334
whatsapp,2.6702626203287093e-05,2.363119205777966
dublin,2.650033358053492e-05,0
theresa,2.6298040957782743e-05,2.341092899447967
cricket,2.6298040957782743e-05,1.3410928994479672
ffs,2.6298040957782743e-05,1.019164804560605
programme,2.609574833503057e-05,1.744989841121611
fathersday,2.609574833503057e-05,1.5225974197851628
stores,2.5893455712278393e-05,1.1488000849772004
exams,2.5893455712278393e-05,1.7337625856983565
completed,2.5893455712278393e-05,1.1488000849772004
technical,2.569116308952622e-05,1.3074097731916787
severe,2.569116308952622e-05,1.1374847717493661
commons,2.5488870466774044e-05,2.2960050099194294
partnership,2.5286577844021867e-05,1.4771544490239956
dey,2.5286577844021867e-05,3.2845093710815996
succeed,2.5084285221269694e-05,1.1029963953640756
collaboration,2.4881992598517517e-05,1.6762770910375964
wales,2.4881992598517517e-05,3.2612395917587524
palestinian,2.4679699975765344e-05,1.9275343290950366
referendum,2.4477407353013167e-05,1.2375883236941072
packed,2.4477407353013167e-05,1.2375883236941072
assembly,2.4477407353013167e-05,1.6526258229729511
jamie,2.4072822107508818e-05,1.891614754840094
campus,2.4072822107508818e-05,1.043617848285144
affect,2.4072822107508818e-05,1.6285803490063002
fixtures,2.3870529484756645e-05,0
clouds,2.3870529484756645e-05,1.2013681357813542
reserve,2.3870529484756645e-05,1.39401321372375
volunteer,2.3870529484756645e-05,1.0314431343390416
wee,2.3465944239252295e-05,1.176706081547085
infrastructure,2.3465944239252295e-05,1.3693511594894807
ambassador,2.3465944239252295e-05,1.176706081547085
portugal,2.3263651616500118e-05,3.164215137363888
phil,2.3263651616500118e-05,1.1642151373638878
wc,2.3263651616500118e-05,3.164215137363888
theatre,2.3061358993747945e-05,1.1516151005842543
taejin,2.3061358993747945e-05,0
race3,2.3061358993747945e-05,2.1516151005842543
worldcup2018,2.3061358993747945e-05,2.5666525998630982
degrassi,2.285906637099577e-05,0
qualify,2.285906637099577e-05,1.5539415481135443
jeremy,2.285906637099577e-05,1.3315491267770962
cooperate,2.2656773748243595e-05,0
academic,2.2656773748243595e-05,1.5411175077559607
venue,2.245448112549142e-05,1.1131409527696188
sponsor,2.2252188502739246e-05,1.77815670505681
cannabis,2.2252188502739246e-05,1.77815670505681
graphic,2.204989587998707e-05,1.501946910475283
sacked,2.1847603257234896e-05,0
bop,2.1847603257234896e-05,1.751684493695619
advanced,2.1847603257234896e-05,1.751684493695619
ios,2.1847603257234896e-05,1.751684493695619
stake,2.1847603257234896e-05,1.751684493695619
lords,2.1847603257234896e-05,1.751684493695619
listing,2.164531063448272e-05,1.7382639779332973
gap,2.164531063448272e-05,1.0601920728206595
hosts,2.164531063448272e-05,1.2528371507630556
presents,2.164531063448272e-05,1.0601920728206595
representing,2.1443018011730546e-05,1.7247174460953496
demands,2.1443018011730546e-05,1.239290618925108
attended,2.124072538897837e-05,1.711042509198273
eea,2.124072538897837e-05,0
outstanding,2.124072538897837e-05,1.0329706040856352
resolution,2.124072538897837e-05,1.4480081033644794
relief,2.124072538897837e-05,1.4480081033644794
moscow,2.1038432766226193e-05,1.6972367096732424
trevor,2.1038432766226193e-05,1.2118098825030006
blaming,2.1038432766226193e-05,1.019164804560605
prosecutors,2.083614014347402e-05,2.420263112881575
salman,2.083614014347402e-05,1.6832975187153687
december,2.083614014347402e-05,1.6832975187153687
appeal,2.083614014347402e-05,1.0052256136027313
noon,2.0633847520721843e-05,1.1837955063334042
permanent,2.0633847520721843e-05,1.6692223335036458
sustainable,2.0633847520721843e-05,1.9911504283910082
offensive,2.0229262275217494e-05,1.3776187754730813
raises,2.0229262275217494e-05,1.1552263541366334
selection,2.0229262275217494e-05,1.640653181306875
thankyou,2.0229262275217494e-05,1.1552263541366334
nc,2.002696965246532e-05,1.1407267844415183
jacob,2.002696965246532e-05,2.3631192057779664
dig,2.002696965246532e-05,1.3631192057779664
comcast,2.002696965246532e-05,2.9480817064991225
happytaeilday,2.002696965246532e-05,0
